epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1337.02,0.64768,0.3722,0.83094,0.77656,0.63793,0.69188,0.3457,1.51502,0.81921,1.16388,0.000424187,0.000424187,0.000424187
43,1368.3,0.64443,0.37097,0.83351,0.77085,0.6492,0.69524,0.33971,1.56897,0.8392,1.17283,0.000417119,0.000417119,0.000417119
44,1399.33,0.629,0.36394,0.82859,0.76476,0.64489,0.68433,0.34335,1.50802,0.82548,1.15447,0.00041005,0.00041005,0.00041005
45,1430.44,0.62145,0.36116,0.82798,0.78305,0.64624,0.69691,0.35009,1.51876,0.81352,1.16186,0.000402982,0.000402982,0.000402982
46,1461.66,0.624,0.36389,0.82762,0.75138,0.64633,0.68524,0.34814,1.47555,0.80908,1.14479,0.000395913,0.000395913,0.000395913
47,1492.72,0.62501,0.36279,0.82882,0.77554,0.64612,0.69212,0.34497,1.52466,0.82804,1.17876,0.000388844,0.000388844,0.000388844
48,1523.79,0.61989,0.35965,0.82923,0.75959,0.65086,0.69102,0.35205,1.45822,0.79137,1.141,0.000381776,0.000381776,0.000381776
49,1554.91,0.6085,0.35281,0.82622,0.77284,0.63992,0.69242,0.35083,1.47086,0.79494,1.13987,0.000374707,0.000374707,0.000374707
50,1586.06,0.60831,0.35367,0.826,0.77848,0.64821,0.69075,0.34508,1.49873,0.83029,1.15391,0.000367639,0.000367639,0.000367639
51,1617.25,0.6056,0.35179,0.82581,0.76114,0.64854,0.69178,0.35176,1.48767,0.79771,1.15208,0.00036057,0.00036057,0.00036057
52,1648.34,0.59793,0.34718,0.8251,0.78266,0.63462,0.69131,0.35642,1.46977,0.81958,1.15939,0.000353501,0.000353501,0.000353501
53,1679.45,0.59752,0.34874,0.82366,0.78284,0.63959,0.69604,0.3539,1.47593,0.79096,1.13855,0.000346433,0.000346433,0.000346433
54,1710.63,0.59732,0.34567,0.82522,0.77329,0.64721,0.69838,0.35735,1.49193,0.79897,1.15279,0.000339364,0.000339364,0.000339364
55,1741.92,0.59418,0.34456,0.82385,0.76003,0.64898,0.68528,0.35088,1.47464,0.80235,1.15653,0.000332296,0.000332296,0.000332296
56,1773.07,0.5872,0.34175,0.82285,0.75451,0.65451,0.69019,0.33985,1.54581,0.82442,1.17297,0.000325227,0.000325227,0.000325227
